SID	WORD	POS	Sentence
1	specialize	v.	Many doctors specialize in a specific field of medicine, like cardiology or neurology.
2	absorb	v.	The sponge can absorb a lot of water, making it useful for cleaning spills.
3	abstract	adj.	His abstract painting leaves the interpretation up to the viewer's imagination.
4	accent	n.	Her French accent made her English sound charming and sophisticated.
5	accidentally	adv.	I accidentally dropped the glass, and it shattered on the floor.
6	accommodate	v.	The hotel can accommodate over 200 guests in its spacious rooms.
7	accommodation	n.	Finding affordable accommodation in the city can be quite challenging.
8	accomplish	v.	He set out to accomplish his task before noon and succeeded.
9	accountant	n.	The company hired an accountant to manage their financial statements.
10	accuracy	n.	The accuracy of her report was crucial for the board meeting.
11	accurately	adv.	He measured the dimensions accurately to ensure the piece would fit.
12	acid	n.	Lemon juice is known for its high acid content.
13	acre	n.	Their property extends over several acres of land.
14	activate	v.	She needs to activate her account before she can start using the app.
15	addiction	n.	Nicotine addiction is a serious problem for many smokers.
16	additionally	adv.	Additionally, the package includes free access to the gym.
17	adequate	adj.	The space in the backseat is adequate for two passengers.
18	adequately	adv.	The tutorial explains the process adequately for beginners.
19	adjust	v.	You can adjust the volume of the music with this knob.
20	affordable	adj.	They were looking for a more affordable option to reduce costs.
21	aged	adj.	The aged cheese at the market has a rich and sharp flavor.
22	agriculture	n.	Agriculture is a key sector in the country's economy, focusing on corn and wheat production.
23	AIDS	n.	AIDS is a life-threatening condition caused by the HIV virus.
24	alien	n.	In the movie, the alien comes from a distant galaxy.
25	alongside	prep.	He worked alongside his colleagues to complete the project on time.
26	altogether	adv.	Altogether, there were fifty participants at the seminar.
27	ambitious	adj.	Her ambitious plan involves starting a company before she is 30.
28	ambulance	n.	An ambulance rushed to the scene of the accident.
29	amusing	adj.	The comedian's routine was amusing and kept everyone laughing.
30	analyst	n.	The data analyst presented the latest findings on market trends.
31	ancestor	n.	Our ancestors migrated from Europe over a century ago.
32	animation	n.	The children enjoyed the vibrant colors and fun stories in the animation.
33	annually	adv.	The conference takes place annually in July.
34	anticipate	v.	We anticipate a large crowd for the concert next week.
35	anxiety	n.	She felt a wave of anxiety before her presentation.
36	apology	n.	He made a sincere apology for his mistake.
37	applicant	n.	The applicant impressed the interviewers with her knowledge and enthusiasm.
38	appropriately	adv.	Dress appropriately for the formal dinner.
39	arrow	n.	The archer aimed the arrow at the target.
40	artwork	n.	The gallery features artwork from contemporary artists.
41	asset	n.	The company considers its skilled workforce its most valuable asset.
42	assign	v.	The teacher will assign homework over the weekend.
43	assistance	n.	She offered her assistance when she saw that I was overwhelmed.
44	assumption	n.	His decision was based on the assumption that the market would improve.
45	assure	v.	I can assure you that the vehicle is in excellent condition.
46	astonishing	adj.	The magician's astonishing trick left the audience in awe.
47	athletic	adj.	The athletic student won three medals at the school sports event.
48	attachment	n.	She has a strong attachment to her childhood toys.
49	audio	adj.	The audio equipment needs to be set up before the conference.
50	awareness	n.	There is growing awareness about mental health issues.
51	awkward	adj.	His attempt at humor was awkward, causing an uncomfortable silence.
52	badge	n.	Every participant received a badge with their name on it.
53	balanced	adj.	She aims for a balanced diet to improve her health.
54	ballet	n.	The ballet performance was breathtakingly beautiful.
55	balloon	n.	The child let go of the string, and the balloon floated away into the sky.
56	barely	adv.	He barely made it to the bus on time.
57	bargain	n.	She found a bargain at the store, a shirt for half price.
58	basement	n.	They converted their basement into a game room.
59	basket	n.	She carried a basket filled with fresh fruit from the market.
60	bat	n.	During the game, he swung the bat hard and hit a home run.
61	beneficial	adj.	Drinking water frequently is beneficial for your health.
62	beside	prep.	She sat beside her friend at the movie theater.
63	besides	prep.	Besides mathematics, he is also excellent in science.
64	besides	adv.	He is not ready to buy a car; besides, he prefers biking.
65	bias	n.	The article showed a clear bias towards one side of the argument.
66	bid	n.	His bid at the auction was the highest, winning him the antique vase.
67	bid	v.	She will bid for the painting she loves at the next auction.
68	biological	adj.	Biological research can provide answers to many medical questions.
69	blanket	n.	She wrapped herself in a warm blanket on the cold night.
70	blow	n.	The blow to his pride was worse than his physical injuries.
71	bold	adj.	Her bold approach to business is both admired and criticized.
72	bombing	n.	The news reported a tragic bombing in the city.
73	boost	v.	The good review helped to boost sales of his new book.
74	boost	n.	The endorsement was a major boost to her campaign.
75	bound	adj.	They were bound for New York but ended up in Boston due to a mistake.
76	brick	n.	The house was built with red bricks.
77	briefly	adv.	She spoke briefly to the audience before exiting the stage.
78	broadcaster	n.	The broadcaster announced the news of the royal wedding.
79	broadly	adv.	He smiled broadly when he heard the good news.
80	buck	n.	He saved a few bucks by buying his supplies in bulk.
81	bug	n.	A small bug crawled across the leaf.
82	cabin	n.	The log cabin by the lake is a perfect getaway spot.
83	canal	n.	They took a boat ride through the ancient canal.
84	candle	n.	The room was lit by a single candle.
85	carbon	n.	Plants absorb carbon dioxide and release oxygen.
86	castle	n.	The old castle is said to be haunted by a benevolent ghost.
87	casual	adj.	The invitation called for casual attire, so jeans and a t-shirt were fine.
88	cave	n.	The explorers discovered ancient paintings inside the cave.
89	certainty	n.	With absolute certainty, she knew she had made the right choice.
90	certificate	n.	Upon completing the course, he received a certificate.
91	challenging	adj.	The puzzle was challenging but fun to solve.
92	championship	n.	The team won the national championship after a dramatic final match.
93	charming	adj.	His charming manner won him many friends.
94	chase	v.	The police chase ended when the suspect's car crashed.
95	chase	n.	The chase through the crowded streets was thrilling to watch.
96	cheek	n.	She kissed her grandmother on the cheek.
97	cheer	v.	The crowd began to cheer loudly as the players took the field.
98	cheer	n.	There was a great cheer from the audience at the end of the performance.
99	chop	v.	He used an axe to chop the wood for the fireplace.
100	circuit	n.	The electric circuit is designed to cut off power in an emergency.
101	civilization	n.	The ruins of the ancient civilization were discovered buried beneath the forest.
102	clarify	v.	Could you clarify your statement? I'm not sure I understand what you mean.
103	classify	v.	Biologists classify organisms into groups to make them easier to study.
104	cliff	n.	The cliff overlooks a vast, beautiful ocean.
105	clinic	n.	She visited the clinic for her routine health check-up.
106	clip	n.	He used a clip to keep the papers together.
107	coincidence	n.	Running into her in France was a pure coincidence since they both lived in Canada.
108	collector	n.	He is a well-known collector of rare books.
109	colony	n.	The penguin colony was protected by environmental laws.
110	colorful	adj.	The festival was vibrant and colorful, filled with decorations.
111	comic	adj.	His comic timing always left the room in laughter.
